Concept_A	Concept_B	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
Fourier_analysis	Signal_processing	2			1								2	
Computer	Computational_geometry	2			2								2	
Dynamic_programming	Shortest_path_problem	3			2								2	
Multimedia	Computer	3			1								3	
Computing	Computer	2			3								1	
Cache_coherence	Shared_memory	1			1								3	
Parsing	Finite-state_machine	3			1								1	
Relational_database	Relational_algebra	1			1								3	
Natural_language_processing	Computational_complexity_theory	1			3								3	
Graphics_processing_unit	Computer_graphics	1			1								1	
Mathematics	Recursion	3			2								2	
Programming_language	Python_(programming_language)	2			2								2	
Structured_programming	Programming_language	3			1								1	
Programming_language	Perl	2			2								2	
Malware	Authentication	1			1								3	
Cryptanalysis	Digital_signature	1			2								3	
High-level_programming_language	Microprocessor	3			3								3	
Relational_model	Database	1			1								1	
Linear_algebra	Partial_differential_equation	2			2								2	
Mechanical_engineering	Kinematics	3			2								1	
Computer_programming	Algebra	3			1								3	
Information_extraction	Relational_database	3			1								3	
Compiler	Computer_architecture	3			1								1	
Atomicity_(database_systems)	Database	1			1								1	
Genetic_algorithm	Linked_list	3			3								1	
Natural_language_processing	Sentiment_analysis	2			2								2	
Cache_coherence	Vector_processor	3			3								3	
Java_(programming_language)	String_(computer_science)	3			1								3	
Bioinformatics	Computer_programming	1			1								1	
String_(computer_science)	Dynamic_programming	3			2								3	
Machine_learning	Markov_chain	1			2								1	
Algebra	Mathematics	1			1								1	
Database	Logic_programming	3			3								3	
Computing	Java_(programming_language)	3			2								2	
B-tree	Data_structure	1			1								1	
Functional_programming	Computer_programming	1			1								1	
Data	Statistical_hypothesis_testing	2			2								2	
Halting_problem	Turing_machine	1			1								1	
Numerical_analysis	Computational_geometry	3			3								3	
PageRank	Expected_value	1			1								1	
Computer_network	Computer_science	1			1								1	
String_(computer_science)	Best,_worst_and_average_case	3			2								3	
Randomness	Game_theory	2			2								3	
Concurrency_(computer_science)	Operating_system	1			1								1	
Formal_methods	Concurrency_(computer_science)	3			4								3	
Algorithm	Iterative_method	1			2								1	
Linguistics	Natural_language	2			1								2	
Linguistics	Sequence_alignment	3			3								3	
Imperative_programming	C_(programming_language)	2			2								3	
Data_structure	Algorithm	3			2								2	
Compiler	Regular_expression	1			1								1	
Algorithm	Undecidable_problem	2			2								2	
Programming_paradigm	Computational_complexity_theory	3			3								3	
Computer_security	Communications_protocol	3			2								3	
Round-off_error	Numerical_analysis	1			1								1	
Open_source	Python_(programming_language)	3			3								3	
Information_theory	Computer_architecture	3			3								3	
Multi-core_processor	Thread_(computer_science)	1			2								1	
Software_engineering	Computer_programming	1			1								1	
Probabilistic_method	Computer_science	3			1								2	
Artificial_intelligence	Knowledge_representation_and_reasoning	2			2								1	
Large_deviations_theory	Probability_theory	1			1								1	
Data_model	Communication	3			3								3	
Machine_learning	Natural_language	3			3								3	
Computational_chemistry	Software_design	3			3								3	
Monte_Carlo_method	Algorithm	1			1								1	
Parallel_computing	Automata_theory	3			3								3	
Architecture	Fault-tolerant_design	3			2								2	
Computer_science	Computer_programming	2			2								2	
Computer_vision	Algorithm_design	1			1								1	
Parametric_polymorphism	Floating_point	3			3								3	
Randomized_algorithm	Cryptography	2			3								2	
Query_optimization	Database_normalization	3			3								3	
Bayesian_probability	Conditional_probability	3			1								1	
Computer_programming	Computer_science	1			1								2	
Computer_graphics	Computer_science	1			1								1	
Computational_geometry	Computer_science	1			1								1	
Mathematics	Problem_solving	3			3								2	
Geometric_modeling	Algorithm	1			1								1	
Semantics	Programming_language	3			3								3	
Transaction_processing	Database_transaction	1			3								2	
Human-computer_interaction	Multimodal_interaction	2			2								2	
Computer_graphics	Scientific_visualization	2			2								2	
Array_data_structure	Stack_(data_structure)	3			2								2	
Computer_vision	Geometry	1			3								1	
Complexity	Probability	3			3								3	
Geometry	Matrix_(mathematics)	3			1								1	
Visualization_(computer_graphics)	Computer_graphics	1			1								1	
Algorithm	Generic_programming	3			2								2	
Shared_memory	Parallel_computing	2			1								1	
Embedded_system	Operating_system	3			1								1	
Algorithm	Machine_learning	2			2								2	
Graphical_model	Random_variable	1			1								1	
Computer_graphics	Computational_chemistry	3			3								3	
Algorithm	Support_vector_machine	2			2								2	
SQL	Computational_chemistry	3			3								3	
Knowledge_representation_and_reasoning	Object-oriented_programming	3			3								3	
Processor_register	Stack_(data_structure)	3			1								1	
Turing_machine	Analysis_of_algorithms	3			1								2	
Prolog	Procedural_programming	3			4								3	
Kernel_(computing)	Computer_multitasking	3			3								2	
Algorithm	Logic	3			1								1	
Mathematics	Theoretical_computer_science	2			2								2	
Data_structure	Computer_programming	2			1								1	
Data_analysis	Machine_learning	2			2								2	
String_(computer_science)	Computer_programming	3			1								1	
Computer_programming	Functional_programming	2			2								2	
Introduction_to_Algorithms	Algorithm	3			3								2	
Scope_(computer_science)	Control_flow	3			3								1	
Algorithm	Software_engineering	2			3								2	
Computer_science	Game_theory	3			2								3	
Analysis_of_algorithms	Best,_worst_and_average_case	2			2								2	
Quantum_computer	Cryptography	3			1								3	
Vector_space	Combinatorics	3			3								3	
Computer_network	OSI_model	2			2								2	
Computer_programming	Computing	1			1								1	
Modular_programming	Automatic_programming	3			3								3	
Data_structure	Modular_arithmetic	3			2								3	
Query_language	Computer_programming	3			1								1	
Garbage_collection_(computer_science)	Compiler	3			1								3	
Programming_style	C_(programming_language)	3			3								3	
Computer_programming	Computer_architecture	3			1								2	
Computability	List_of_undecidable_problems	2			2								2	
Functional_programming	Type_system	2			3								2	
Machine_learning	Computational_complexity_theory	1			3								1	
Message_passing	Parallel_computing	2			1								2	
Assembly_language	Operating_system	2			1								2	
Dynamic_programming	Graph_coloring	3			2								2	
Artificial_intelligence	Object-oriented_programming	3			3								3	
Logic	Computer_science	2			1								2	
Computer_science	P_versus_NP_problem	2			2								2	
Matrix_(mathematics)	Mathematics	1			1								1	
Data_mining	Online_analytical_processing	3			3								2	
Polymorphism_(computer_science)	Floating_point	3			3								3	
Randomized_algorithm	Introduction_to_Algorithms	1			1								1	
Parallel_computing	Concurrency_(computer_science)	3			2								1	
Theory_of_computation	Computer_science	1			1								1	
Programming_language	C++	2			2								2	
Probability_theory	Graph_theory	3			3								2	
Software_engineering	Mathematical_optimization	3			3								3	
Natural_language_processing	Machine_learning	1			3								1	
Programming_language	Regular_expression	3			2								3	
Formal_language	Algorithm	1			3								3	
Machine_learning	Cluster_analysis	2			2								2	
Database_management_system	Relational_model	2			2								2	
Combinatorics	Numerical_analysis	3			3								3	
Traffic_analysis	Cryptography	1			3								1	
Cryptanalysis	Discrete_mathematics	1			3								3	
Software_engineering	Computer_network	3			3								3	
Computational_chemistry	Computer_science	3			1								1	
Machine_learning	Statistical_inference	1			2								1	
Number_theory	Procedural_programming	3			3								3	
Sparse_matrix	Eigenvalues_and_eigenvectors	3			3								3	
Programming_language	Algorithm_design	1			2								3	
Graph_(mathematics)	Game_theory	3			3								3	
Monte_Carlo_method	Integral	1			1								3	
List_of_undecidable_problems	Computability	1			1								1	
Algorithm	Recursively_enumerable_set	3			2								2	
Scope_(computer_science)	Data_type	3			1								3	
Programming_language	Variable_(computer_science)	1			2								2	
Computer_vision	Multimodal_interaction	3			3								3	
Suffix_tree	String_searching_algorithm	1			1								2	
Amortized_analysis	Hash_table	3			3								3	
3D_modeling	Algorithm	1			1								3	
Numerical_analysis	Mathematical_optimization	3			2								1	
Software_engineering	Compiler	3			3								3	
Profiling_(computer_programming)	Python_(programming_language)	3			3								3	
Object-oriented_programming	High-level_programming_language	3			1								1	
Programming_language	Data_structure	1			2								1	
Random_variable	Computer_science	3			1								3	
Data_mining	Compiler	3			3								3	
Programming_paradigm	Prolog	3			2								3	
Turing_machine	NP-complete	2			2								2	
Number_theory	Turing_machine	3			3								3	
System_call	Computing	3			3								3	
Java_(programming_language)	Inheritance_(object-oriented_programming)	3			2								1	
Combinatorics	Finite_set	1			1								1	
Formal_grammar	Parsing	2			2								2	
CPU_cache	Instruction_pipeline	3			3								3	
Calculus	Linear_algebra	3			3								1	
Concurrency_(computer_science)	Formal_methods	3			3								3	
Fourier_analysis	Polynomial	1			1								3	
Machine_learning	Logic_programming	3			3								3	
Vector_processor	Parallel_computing	1			1								1	
Game_theory	Matrix_(mathematics)	3			3								1	
Concurrency_control	Database_transaction	3			3								2	
Computer_programming	Mathematical_optimization	3			3								3	
Transaction_processing	Relational_algebra	3			4								3	
Probability	Computer_science	3			3								3	
Object-oriented_programming	Analysis_of_algorithms	3			3								3	
Computer_vision	Hidden_surface_determination	3			2								3	
Personal_computer	Computer_programming	3			3								3	
Newton's_method	Approximation	1			1								2	
Analysis_of_algorithms	Cryptography	2			3								3	
Database	Data_warehouse	3			2								2	
Functional_programming	Computational_complexity_theory	3			3								3	
Natural_language_processing	Machine_translation	2			2								2	
Regular_language	Turing_machine	1			2								3	
Semantics	Computer_science	3			1								3	
Statistical_hypothesis_testing	Data	1			1								1	
Computation	Computational_science	2			1								2	
Computational_chemistry	Algorithm	1			1								1	
Fourier_transform	Probability_theory	3			3								1	
Internet_Protocol_Suite	Computer	1			1								1	
Artificial_intelligence	Functional_programming	3			3								3	
Algorithm	Array_data_structure	3			2								1	
Simulation	Problem_solving	3			3								3	
Symbol_table	Compiler	2			1								1	
Programming_language	Java_(programming_language)	2			2								2	
Array_data_structure	Algorithm	3			1								2	
Hash_table	Abstraction_(computer_science)	3			3								2	
Java_(programming_language)	Computer_network	3			3								3	
Formal_language	Logic	1			1								1	
Database_management_system	Abstraction_(computer_science)	3			3								3	
Document_classification	Machine_learning	1			1								1	
Complexity	Randomness	3			1								3	
Cryptography	Computer_science	1			1								1	
Reinforcement_learning	Machine_learning	1			1								1	
Inheritance_(object-oriented_programming)	C++	3			2								2	
Logic	Foundations_of_mathematics	3			1								1	
Cryptography	Computer_programming	1			3								3	
Partial_differential_equation	Mathematics	1			1								1	
Stochastic	Probability_theory	3			1								1	
Dynamic_programming	Algorithm	1			1								1	
Computer_network	Packet_switching	2			2								2	
Artificial_intelligence	Automata_theory	3			3								1	
Robotics	Computer_science	1			1								1	
Knowledge_representation_and_reasoning	Mathematics	1			1								1	
Decision_theory	Statistical_hypothesis_testing	1			1								1	
Object-oriented_programming	Assembly_language	3			3								3	
Quantum_mechanics	Theoretical_computer_science	3			3								3	
Debugging	High-level_programming_language	3			3								3	
Stochastic_process	Continuous_function	1			1								3	
Floating_point	Data_structure	3			3								3	
Web_server	Inter-process_communication	3			3								2	
Automatic_programming	Logic_programming	3			3								3	
Machine_learning	Computational_science	1			1								3	
Pipeline_(computing)	Instruction_pipeline	2			2								2	
Graphics	Computer_graphics	2			3								2	
Haskell_(programming_language)	Computer_programming	1			1								1	
Numerical_analysis	Numerical_ordinary_differential_equations	2			2								2	
Abstraction_(computer_science)	Computer_science	1			1								1	
Rendering_(computer_graphics)	Computer_graphics	1			1								1	
Reason	Mathematics	3			1								3	
Natural_language_processing	Sequence_alignment	3			3								3	
Open_source	Personal_computer	3			3								3	
Computer_programming	C_(programming_language)	2			2								2	
Parsing	NP-complete	3			3								3	
Methodology	Robotics	3			3								3	
Prolog	String_(computer_science)	3			1								1	
Inter-process_communication	Parallel_computing	1			1								1	
Mathematical_optimization	Mathematical_model	3			1								1	
String_(computer_science)	Data_(computing)	3			3								3	
Matrix_(mathematics)	Numerical_analysis	2			2								2	
Feature_extraction	Image_processing	2			1								2	
Theory_of_computation	Programming_language	2			3								3	
Pattern_recognition	Computer_science	1			1								1	
Recursion	Logic	3			1								1	
Programming_paradigm	Programming_language	1			1								1	
Bayesian_probability	Machine_learning	2			1								2	
Philosophy	Lisp_(programming_language)	3			3								3	
Discrete_mathematics	Numerical_analysis	3			3								2	
Computational_complexity_theory	Computational_problem	1			1								1	
Combinatorics	Mathematics	1			1								1	
Image_analysis	Computer_science	1			1								1	
Entity-relationship_model	Data_structure	3			1								3	
Parallel_computing	Distributed_computing	3			3								2	
Distributed_computing	Computer_network	1			1								3	
Software_testing	Debugging	3			2								1	
Computer	C++	2			2								2	
Data_type	Computer_science	1			1								1	
Mathematical_optimization	Dynamic_programming	3			2								3	
Unix	Compiler	3			3								3	
Complexity	Algorithm	3			1								1	
Computer_network	Telecommunications_network	1			2								2	
P_versus_NP_problem	Algorithm	1			1								1	
Scripting_language	Programming_language	1			1								1	
Data_structure	Graph_theory	3			2								2	
Scripting_language	Lisp_(programming_language)	3			3								3	
Computer_science	Foundations_of_mathematics	1			3								1	
Scope_(computer_science)	Programming_language	1			1								1	
Propositional_calculus	Graph_(mathematics)	3			3								2	
Calculus	Graph_theory	3			3								3	
Data_structure	Analysis_of_algorithms	3			2								2	
Modular_programming	Scope_(computer_science)	3			1								1	
Type_theory	Parsing	3			3								3	
Stochastic	Markov_chain	3			2								2	
Computer_vision	Analysis_of_algorithms	1			3								1	
Game_theory	Graph_theory	3			3								3	
Parallel_computing	Computing	1			1								1	
Natural_language_processing	Unsupervised_learning	1			3								1	
Polynomial	Interpolation	2			2								2	
Rendering_(computer_graphics)	Ray_tracing_(graphics)	3			2								1	
Randomized_algorithm	Computational_geometry	3			3								2	
Time_complexity	Dynamic_programming	3			3								2	
List_of_undecidable_problems	Computational_problem	1			1								1	
Ray_tracing_(graphics)	Rendering_(computer_graphics)	3			1								1	
Probability	Statistical_inference	2			2								2	
CPU_cache	Virtual_memory	1			3								3	
Numerical_analysis	Ordinary_differential_equation	2			2								1	
Distributed_computing	Information_theory	3			3								3	
Turing_machine	Computability	2			2								1	
Statistics	Information_retrieval	2			2								2	
Finite_set	Combinatorics	2			2								3	
Social_network	Graph_theory	1			1								1	
Data	Computer	3			3								1	
Transaction_processing	SQL	3			1								2	
Mathematical_model	Probability	1			3								2	
Parsing	Software_engineering	3			3								3	
Artificial_intelligence	Numerical_analysis	1			3								1	
Halting_problem	List_of_undecidable_problems	1			2								2	
Sparse_matrix	Numerical_analysis	1			3								2	
Algorithm	Computability	1			2								1	
Machine_learning	Data_mining	2			2								2	
Communications_protocol	Algorithm	1			3								1	
Question_answering	Expert_system	1			1								2	
Computer_science	Problem_solving	3			3								2	
Algorithm	Mathematical_induction	1			2								1	
Calculus	Theory_of_computation	3			3								2	
Queue_(data_structure)	Array_data_structure	3			1								1	
Partial_differential_equation	Boundary_value_problem	2			2								2	
Interpolation	Mathematics	1			1								1	
Information_theory	Probability_theory	1			1								1	
Computer	Graphical_user_interface	2			2								2	
Software_framework	Computer_programming	1			1								1	
Computer_science	Computability	1			2								2	
Distributed_computing	Computer_programming	1			1								1	
Multi-core_processor	Operating_system	3			1								3	
Graphical_model	Data	3			1								1	
Deadlock	Mutual_exclusion	1			3								3	
Imperative_programming	Modular_programming	3			3								2	
Software_design	C_(programming_language)	1			3								3	
Polymorphism_(computer_science)	Generic_programming	1			3								2	
Cryptography	Traffic_analysis	3			3								3	
Factorization	Algorithm	3			1								3	
Recursively_enumerable_set	Finite_set	1			1								3	
Parallel_algorithm	Computer_science	1			1								1	
Exponential_family	Statistical_inference	1			2								3	
Computational_complexity_theory	Integer	1			1								3	
Programming_language	Computer	1			1								1	
Propositional_calculus	Logic	1			3								1	
Database_management_system	Database_normalization	2			2								2	
Prediction	Probability	1			3								1	
Computational_complexity_theory	Data_mining	2			3								3	
Assembly_language	Abstraction_(computer_science)	3			3								3	
Programming_language	Recursion_(computer_science)	3			2								2	
Data_structure	Abstract_data_type	3			3								2	
Symmetric_multiprocessing	Concurrency_(computer_science)	3			1								1	
Concurrency_(computer_science)	Parallel_computing	1			1								2	
Computational_geometry	Computational_chemistry	3			2								3	
Operating_system	Computer_file	3			2								3	
Shortest_path_problem	Graph_theory	1			1								1	
Calculus	Combinatorics	3			2								3	
Numerical_analysis	Round-off_error	2			2								2	
Inter-process_communication	Data	1			1								3	
Web_browser	Python_(programming_language)	3			3								3	
Parsing	String_(computer_science)	1			1								1	
Lexical_analysis	Regular_expression	1			1								1	
Computer_security	Security	1			3								1	
Data_mining	Data	1			1								1	
Operating_system	Compiler	3			2								3	
Routing	OSI_model	3			1								1	
User_interface_design	User_interface	1			3								1	
Relational_database	Software_engineering	3			1								3	
Machine_learning	Expectation-maximization_algorithm	1			2								2	
Software_engineering	Analysis_of_algorithms	1			3								3	
Arithmetic	Algorithm	2			2								2	
Hidden_Markov_model	Dynamic_programming	1			1								3	
Probability	Conditional_probability	2			2								2	
Intelligence	Problem_solving	3			3								3	
Sentiment_analysis	Machine_learning	1			1								1	
Computational_geometry	Algorithm	1			1								1	
Formal_methods	Data_structure	1			3								3	
Mathematics	Computer_programming	2			2								3	
Machine_learning	Number_theory	3			3								1	
Quantum_computer	Theoretical_computer_science	1			1								3	
Central_processing_unit	CPU_cache	2			2								2	
Mathematical_optimization	Linear_algebra	1			1								1	
Computer_science	Combinatorics	3			3								3	
Data_mining	Database	1			3								1	
Robot	Artificial_intelligence	1			3								1	
Software_development	Object-oriented_programming	1			1								3	
Social_network	Telecommunications_network	3			3								1	
Parallel_computing	Vector_processor	2			2								2	
Theoretical_computer_science	Computation	1			1								1	
Authentication	Public-key_cryptography	2			2								2	
Computer_graphics	Graphics_processing_unit	2			2								1	
Computational_geometry	Concurrency_control	3			3								3	
Concurrency_control	Database_management_system	1			1								1	
Java_(programming_language)	Computer_programming	1			1								1	
Graph_(mathematics)	Approximation_algorithm	3			3								3	
Polymorphism_(computer_science)	String_(computer_science)	3			1								3	
Mathematical_optimization	Computer_programming	3			3								3	
Programmer	Java_(programming_language)	3			3								1	
Java_(programming_language)	Object_(computer_science)	1			2								3	
Communications_protocol	Synchronization	1			2								1	
Software_engineering	Combinatorics	3			3					3				
Computer_architecture	Virtual_memory	2			2					2				
Finite_difference	Partial_differential_equation	1			3					3				
Stack_(data_structure)	Algorithm	3			1					3				
Geometric_modeling	Computational_geometry	1			1					2				
Input/output	Instruction_set	3			3					1				
Discrete_mathematics	Probability_theory	3			3					3				
Programming_language	Algorithm	3			3					3				
Randomized_algorithm	Game_theory	3			3					3				
Programming_language	Data_(computing)	3			3					3				
Visualization_(computer_graphics)	Analysis_of_algorithms	1			3					3				
Object-oriented_programming	Software_development	2			1					3				
Database_management_system	Software_design	3			3					3				
Computer	Computer_software	2			2					2				
Computer_science	Mutual_exclusion	2			2					3				
Parallel_computing	Graph_theory	3			3					3				
Cryptography	Cryptanalysis	2			3					2				
Operating_system	Central_processing_unit	1			1					1				
Cryptography	Mathematical_proof	1			3					1				
Randomness	Random_variable	2			2					3				
Computer_science	Object_(computer_science)	2			2					3				
Operating_system	Inter-process_communication	3			2					2				
Software_engineering	Algorithm_design	1			3					3				
Boundary_value_problem	Ordinary_differential_equation	1			1					3				
Dynamic_memory_allocation	C_(programming_language)	3			3					3				
Probability	Mathematics	1			1					1				
Divide_and_conquer_algorithm	Dynamic_programming	3			3					3				
Computability	Context-free_language	3			2					3				
Prolog	Lisp_(programming_language)	3			1					3				
Algorithm	Imperative_programming	3			3					3				
Knowledge	Problem_solving	3			3					2				
Information_theory	Computer_programming	3			3					3				
Decision_theory	Expected_value	1			3					3				
Data_structure	Combinatorics	3			3					3				
Information_theory	Mathematical_optimization	3			3					3				
Mathematical_proof	Data	3			3					3				
Calculus_of_variations	Ordinary_differential_equation	3			3					3				
Top-down_and_bottom-up_design	Object-oriented_programming	3			1					3				
Algorithm	Algebra	3			1					3				
Programming_language	Compiler	2			2					1				
Garbage_collection_(computer_science)	Java_(programming_language)	3			1					3				
Parsing	Propositional_calculus	3			3					3				
Software_framework	Object-oriented_programming	3			3					3				
Wavelet	Randomness	3			3					3				
Data_mining	Computer_vision	3			3					3				
String_(computer_science)	Data_structure	3			1					1				
Numerical_analysis	Object-oriented_programming	3			3					3				
Markov_chain	Conditional_probability	1			1					1				
Computability	Computational_problem	1			3					2				
Software_engineering	User_interface	3			2					3				
Programming_paradigm	Automata_theory	3			3					3				
Analysis_of_algorithms	Software_engineering	2			3					3				
Object-oriented_programming	Software_design	2			1					1				
Algorithm_design	Data_structure	3			1					3				
Undecidable_problem	Computational_complexity_theory	1			1					3				
Higher-order_function	C_(programming_language)	3			3					3				
Algebra	Graph_theory	3			2					3				
Logic	Predicate_logic	2			2					2				
Number_theory	Functional_programming	3			3					3				
Cryptography	Public-key_cryptography	2			2					2				
JavaScript	Python_(programming_language)	3			3					3				
Multi-core_processor	Parallel_computing	1			1					1				
Thread_(computer_science)	String_(computer_science)	3			3					3				
Modular_arithmetic	Discrete_mathematics	1			1					3				
Grammar	Finite-state_machine	3			1					3				
Poisson_distribution	Expected_value	1			1					3				
Arithmetic_logic_unit	Computer	1			1					2				
Monte_Carlo_method	Statistical_hypothesis_testing	3			3					1				
Uncertainty	Physics	3			3					3				
Algorithm	Approximation_algorithm	2			2					2				
Markov_chain	Random_variable	1			1					1				
Data_mining	Data_structure	1			2					3				
Central_processing_unit	Graphics_processing_unit	2			3					2				
Programming_language	Concurrent_computing	3			3					3				
Algebra	Combinatorics	2			2					3				
Computer_security	Computer_science	1			1					1				
Index_(database)	Database	1			1					1				
Fourier_analysis	Partial_differential_equation	3			3					3				
Computer_network	Computer_architecture	3			3					3				
Data_mining	Index_(database)	3			3					3				
Algorithm	Cryptography	2			3					2				
Parallel_computing	Instruction_pipeline	3			3					3				
Digital_electronics	Finite-state_machine	3			3					3				
Queueing_theory	Poisson_distribution	3			1					3				
Automated_theorem_proving	Mathematical_induction	1			1					2				
Statistical_inference	Random_variable	1			1					2				
Computer_animation	Computational_geometry	1			1					1				
Data	C++	3			3					3				
Functional_programming	Imperative_programming	3			3					3				
Abstraction_(computer_science)	Abstract_data_type	2			2					2				
Knowledge_representation_and_reasoning	Programming_language	3			3					2				
Computational_complexity_theory	Graph_theory	3			3					3				
Concurrency_control	Combinatorics	3			3					3				
Information_retrieval	Query_language	1			3					3				
Random_walk	Graph_theory	1			1					3				
Unix	Computer_network	3			3					3				
Computer_science	Mathematical_optimization	3			3					3				
Programming_language	Infinity	3			3					3				
Randomized_algorithm	Data_structure	3			3					3				
Machine_learning	Combinatorics	3			3					3				
Routing	Packet_switching	1			2					2				
Operating_system	Computational_geometry	3			3					3				
Data_mining	Theory_of_computation	1			3					3				
Combinatorics	Mathematical_optimization	3			2					3				
Data_mining	Relational_database	1			3					3				
Computer_programming	Concurrency_(computer_science)	3			3					3				
Cryptanalysis	Cryptography	1			3					1				
Relational_database_management_system	Database_normalization	2			2					3				
Assembly_language	Interface_(computing)	3			1					3				
Algorithm	Stack_(data_structure)	3			2					3				
Software_testing	Modular_programming	3			2					3				
High-level_programming_language	Recursion	3			1					3				
Malware	Computer_security	1			1					3				
Recursion	Functional_programming	3			2					3				
Embedded_system	Personal_computer	3			3					3				
Database	Functional_programming	3			3					3				
Object-oriented_programming	Formal_methods	3			3					3				
Artificial_intelligence	Information_retrieval	2			3					3				
Software_engineering	SQL	3			2					3				
Compiler_optimization	Assembly_language	1			1					3				
Propositional_calculus	Foundations_of_mathematics	1			2					3				
Programming_language	Instruction_set	3			3					1				
Graph_(mathematics)	P_versus_NP_problem	3			3					3				
